Revisar	Rendimiento	Ansiedad
4	40	86.298
11	65	88.716
27	80	70.178
53	80	61.312
4	40	89.522
22	70	60.506
16	20	81.462
21	55	75.82
25	50	69.372
18	40	82.268
18	45	79.044
16	85	80.656
13	70	70.178
18	50	75.014
98	95	34.714
1	70	95.164
14	95	75.82
29	95	79.044
4	50	91.134
23	60	64.536
14	80	80.656
12	75	77.432
22	85	65.342
84	90	.0560000000000116
23	30	71.79
26	60	81.462
24	75	63.73
72	75	27.46
37	27	73.402
10	20	89.522
3	75	89.522
36	90	75.014
43	60	43.58
19	30	82.268
12	80	79.044
9	10	79.044
72	85	37.132
10	7	81.462
12	5	83.074
30	85	50.834
15	20	82.268
8	45	78.238
34	60	72.596
22	70	74.208
21	50	75.82
27	25	70.984
6	50	97.582
18	40	67.76
8	80	75.014
19	50	73.402
0	35	93.552
52	80	58.894
38	50	53.252
19	49	84.686
23	75	89.522
11	25	71.79
27	65	82.268
17	80	69.372
13	50	62.118
42	70	68.566
4	40	93.552
8	80	84.686
6	10	82.268
11	20	81.462
7	40	82.268
15	40	91.134
4	70	91.94
28	52	86.298
22	50	72.596
29	60	63.73
2	80	63.73
16	60	71.79
59	65	57.282
10	15	84.686
13	85	84.686
8	20	77.432
5	80	82.268
2	100	10
38	100	50.834
4	80	87.91
10	10	83.88
6	70	84.686
68	100	20.206
8	70	87.104
1	70	83.88
14	65	67.76
42	75	95.97
13	85	62.118
1	30	84.686
3	5	92.746
5	10	84.686
12	90	83.074
19	70	73.402
2	20	87.91
19	85	71.79
11	35	86.298
15	30	84.686
23	70	75.82
13	55	70.984
14	75	78.238
1	2	82.268
9	40	79.044
20	50	91.134
