civic_k	poldisc	hisei
110.00	55.00	33.00
75.40	58.00	32.00
56.85	43.73	24.00
67.60	52.00	34.00
65.00	50.00	33.83
73.49	56.53	33.00
67.95	52.27	33.00
34.00	66.00	34.00
78.00	60.00	32.00
74.10	57.00	34.00
76.70	59.00	34.00
74.10	57.00	34.00
83.20	64.00	35.00
68.90	53.00	34.00
79.30	61.00	33.00
76.27	58.67	35.00
30.00	47.00	30.00
84.59	65.07	31.00
74.10	57.00	19.00
72.80	56.00	33.00
76.70	59.00	35.00
65.00	50.00	34.00
83.20	64.00	35.00
50.00	55.00	31.00
67.60	52.00	35.00
76.70	59.00	35.00
76.70	59.00	35.00
67.60	52.00	35.00
63.70	49.00	34.00
84.50	65.00	32.00
83.20	64.00	35.00
71.50	55.00	16.00
57.20	44.00	30.00
85.80	66.00	35.00
80.60	62.00	35.00
68.90	53.00	35.00
74.88	57.60	33.00
72.80	56.00	25.00
66.30	51.00	35.00
72.80	56.00	30.00
61.10	47.00	23.00
66.56	51.20	34.00
71.50	55.00	22.17
77.65	59.73	30.00
40.00	36.27	29.00
72.80	56.00	23.00
65.00	50.00	35.00
76.70	59.00	34.00
63.70	49.00	34.00
65.00	50.00	34.00
67.60	52.00	32.00
50.70	39.00	26.00
58.50	45.00	32.00
49.40	38.00	34.00
65.00	50.00	35.00
63.70	49.00	34.00
67.60	52.00	30.00
50.00	62.00	20.00
68.90	53.00	34.00
84.50	65.00	35.00
20.00	59.00	35.00
65.00	50.00	31.00
74.10	57.00	35.00
83.20	64.00	33.00
59.80	46.00	32.00
67.60	52.00	18.00
75.40	58.00	33.00
70.20	54.00	34.00
81.90	63.00	35.00
76.70	59.00	34.00
71.50	55.00	33.00
50.00	59.00	35.00
63.70	49.00	33.00
67.60	52.00	35.00
52.00	40.00	29.00
72.80	56.00	30.00
72.80	56.00	33.00
42.90	33.00	28.00
63.70	49.00	30.00
71.50	55.00	29.00
91.00	70.00	35.00
67.60	52.00	13.00
48.10	37.00	35.00
80.60	62.00	34.00
30.00	45.00	20.00
68.90	53.00	31.00
78.00	60.00	35.00
88.40	68.00	35.00
50.00	44.00	25.67
68.90	53.00	25.67
74.88	57.60	26.00
69.33	53.33	28.00
52.00	40.00	35.00
44.20	34.00	26.00
50.00	67.00	35.00
75.40	58.00	35.00
76.70	59.00	35.00
67.60	52.00	32.00
74.10	57.00	34.00
63.70	49.00	32.00
78.00	60.00	27.00
32.00	55.00	33.00
68.90	53.00	33.00
65.00	50.00	34.00
58.50	45.00	34.00
71.50	55.00	33.00
71.50	55.00	28.00
54.60	42.00	35.00
55.90	43.00	25.00
49.40	38.00	33.00
75.40	58.00	30.00
67.60	52.00	32.00
74.10	57.00	31.00
72.80	56.00	34.00
74.10	57.00	30.00
62.40	48.00	34.00
79.30	61.00	28.00
75.40	58.00	30.00
70.20	54.00	31.00
84.50	65.00	32.00
80.60	62.00	31.00
79.30	61.00	34.00
78.00	60.00	33.00
87.10	67.00	35.00
62.40	48.00	34.00
76.70	59.00	35.00
61.10	47.00	32.00
74.10	57.00	32.00
68.90	53.00	30.00
58.50	45.00	30.00
75.40	58.00	24.00
85.80	66.00	33.00
62.40	48.00	22.00
62.40	48.00	35.00
78.00	60.00	29.00
61.10	47.00	34.00
30.00	43.00	21.00
74.10	57.00	17.00
72.80	56.00	29.00
80.60	62.00	31.00
85.80	66.00	30.00
80.00	68.00	26.00
74.10	57.00	35.00
74.10	57.00	33.00
74.00	43.00	33.00
80.00	60.00	26.00
68.90	53.00	27.00
79.30	61.00	35.00
61.10	47.00	34.00
57.00	62.00	31.00
41.60	32.00	22.00
45.50	35.00	32.00
79.30	61.00	22.00
67.60	52.00	31.00
81.90	63.00	35.00
84.50	65.00	31.00
30.00	37.00	21.00
91.00	70.00	29.00
70.72	54.40	35.00
76.70	59.00	35.00
83.20	64.00	17.00
85.80	66.00	33.00
55.90	43.00	35.00
68.90	53.00	30.00
61.10	47.00	28.00
75.40	58.00	27.00
71.50	55.00	35.00
62.40	48.00	33.00
70.20	54.00	13.00
72.80	56.00	33.00
88.40	68.00	35.00
72.80	56.00	33.00
54.60	42.00	35.00
83.20	64.00	33.00
57.20	44.00	25.00
75.00	70.00	34.00
55.90	43.00	8.00
62.40	48.00	16.00
79.30	61.00	33.00
54.60	42.00	31.00
76.70	59.00	7.00
76.70	59.00	34.00
75.40	58.00	33.00
35.10	27.00	7.00
76.70	59.00	35.00
58.50	45.00	33.00
66.30	51.00	26.00
72.80	56.00	28.00
58.50	45.00	19.00
71.50	55.00	33.00
75.40	58.00	32.00
56.85	43.73	24.00
67.60	52.00	34.00
65.00	50.00	33.83
73.49	56.53	33.00
67.95	52.27	33.00
85.80	66.00	34.00
78.00	60.00	32.00
74.10	57.00	34.00
74.00	59.00	34.00
74.00	57.00	34.00
74.00	64.00	35.00
58.00	53.00	34.00
79.30	61.00	33.00
76.27	58.67	35.00
61.10	47.00	30.00
84.59	65.07	31.00
74.10	57.00	19.00
72.80	56.00	33.00
76.70	59.00	35.00
