"idencuesta","c01","c02","c03","c04","c05_01","c05_02","c05_03","c05_04","c05_05","c05_06","c05_07","c05_08","c06_01","c06_02","c06_03","c06_04","c06_05","c06_06","c11","c13","c14_01","c14_02","d05_02","d05_04","m0_sexo","m0_edad","m01","m35"
1101011,1,1,3,3,1,1,1,3,1,1,1,1,1,1,1,4,2,1,1,1,2,2,4,3,2,64,2,2
1101012,1,3,2,2,1,1,2,2,2,1,1,1,1,1,1,3,2,4,2,1,1,1,5,5,2,60,4,3
1101013,1,3,3,2,1,1,1,1,1,3,1,1,1,1,1,5,4,2,1,1,1,1,2,5,2,26,4,3
1101021,1,1,2,2,1,1,3,4,1,4,1,1,1,2,1,4,5,5,2,2,2,2,2,4,1,51,8,3
1101022,2,2,2,3,1,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,5,3,1,69,5,3
1101023,1,2,2,2,1,1,2,1,1,2,1,1,1,1,1,4,5,1,2,1,2,2,5,5,1,62,4,1
1101032,3,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,5,5,4,2,54,5,4
1101033,3,2,3,2,1,1,3,3,2,2,1,1,1,1,1,5,2,2,1,1,3,3,2,4,2,32,6,2
1101041,1,1,2,3,1,1,2,3,1,1,1,1,1,1,1,3,3,2,1,1,1,2,3,4,1,38,5,1
1101042,4,1,1,2,1,1,2,1,2,2,1,1,1,1,1,5,3,2,2,1,3,2,4,5,1,46,5,3
1101043,3,2,1,2,3,3,3,3,3,3,3,3,1,1,1,3,3,3,1,1,3,2,3,4,2,20,5,2
1101051,1,1,2,3,1,1,3,3,1,3,1,1,1,1,1,5,5,5,1,1,3,3,5,4,1,20,8,2
1101053,1,2,2,2,1,1,2,1,2,1,1,1,1,1,1,4,3,2,1,1,3,2,4,4,2,19,8,2
1101081,1,2,2,3,1,1,3,3,1,3,2,1,1,2,1,3,1,1,2,3,4,3,5,5,1,69,3,3
1101082,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,3,5,3,2,56,5,3
1101083,3,3,3,2,1,1,2,2,2,1,1,2,1,1,1,4,2,1,1,3,2,4,5,3,1,46,5,2
1101102,1,1,3,3,1,1,4,2,1,2,1,1,1,1,1,4,2,3,1,1,1,1,2,4,2,65,7,3
1101103,1,2,2,2,1,3,3,3,3,3,1,1,1,1,1,4,3,2,2,1,5,4,4,4,1,35,5,2
1101111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,4,2,1,4,2,3,4,2,26,5,3
1101113,1,3,3,3,1,1,1,3,4,5,1,1,1,1,1,1,1,1,1,1,2,1,3,4,1,34,5,1
1101132,1,2,2,2,3,1,3,2,2,2,2,1,1,1,1,5,1,,1,1,3,2,4,4,2,29,5,3
1101133,4,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,2,4,2,62,4,2
1101151,1,2,2,3,1,1,3,2,1,2,1,1,1,1,2,1,3,2,1,1,3,5,4,3,1,22,8,3
1101152,1,2,3,2,1,1,3,2,1,1,1,1,1,1,2,3,3,3,1,1,3,3,4,2,2,29,7,3
